report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,crime_occurred,age_group
16,2020-01-02,2020-01-01,18:54:00,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,30-03-2020,Evening,Adult
17,2020-01-03,2020-01-01,02:57:00,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,Null,Night,Senior-Citizen
18,2020-01-04,2020-01-01,23:09:00,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,Null,Night,Senior-Citizen
19,2020-01-02,2020-01-01,10:42:00,Bangalore,480,CYBERCRIME,11,M,Unknown,Other Crime,3,Yes,24-01-2020,Morning,Child
20,2020-01-03,2020-01-01,18:02:00,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,05-03-2020,Evening,Senior-Citizen
21,2020-01-03,2020-01-01,02:33:00,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,22-01-2020,Night,Adult
22,2020-01-03,2020-01-01,10:11:00,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,03-03-2020,Morning,Senior-Citizen
23,2020-01-02,2020-01-01,22:03:00,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,Null,Night,Senior-Citizen
24,2020-01-03,2020-01-01,23:40:00,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,Null,Night,Senior-Citizen
25,2020-01-03,2020-01-02,20:47:00,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,Null,Evening,Teenager
26,2020-01-02,2020-01-02,08:21:00,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,12-03-2020,Morning,Senior-Citizen
27,2020-01-02,2020-01-02,04:02:00,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,Null,Night,Adult
28,2020-01-02,2020-01-02,20:11:00,Lucknow,489,PUBLIC INTOXICATION,41,F,Unknown,Other Crime,7,No,Null,Evening,Adult
29,2020-01-04,2020-01-02,19:56:00,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,Null,Evening,Adult
30,2020-01-04,2020-01-02,09:35:00,Bhopal,517,BURGLARY,37,F,Unknown,Other Crime,4,No,Null,Morning,Adult
31,2020-01-03,2020-01-02,13:06:00,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,Null,Afternoon,Adult
32,2020-01-04,2020-01-02,15:05:00,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,18-03-2020,Afternoon,Senior-Citizen
33,2020-01-03,2020-01-02,03:01:00,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,Null,Night,Senior-Citizen
34,2020-01-05,2020-01-02,02:40:00,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,Null,Night,Adult
35,2020-01-04,2020-01-02,22:18:00,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,Null,Night,Adult
36,2020-01-04,2020-01-02,17:48:00,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,Null,Evening,Adult
37,2020-01-03,2020-01-02,00:18:00,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,02-07-2020,Night,Adult
38,2020-01-04,2020-01-02,18:04:00,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,Null,Evening,Adult
39,2020-01-03,2020-01-02,21:24:00,Surat,487,VEHICLE - STOLEN,32,F,Unknown,Violent Crime,13,Yes,11-03-2020,Night,Adult
40,2020-01-03,2020-01-02,14:05:00,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,15-01-2020,Afternoon,Senior-Citizen
41,2020-01-05,2020-01-02,01:51:00,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,Null,Night,Adult
42,2020-01-03,2020-01-02,11:09:00,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,Null,Morning,Adult
43,2020-01-03,2020-01-02,09:30:00,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,17-03-2020,Morning,Adult
44,2020-01-04,2020-01-02,08:34:00,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,Null,Morning,Adult
45,2020-01-05,2020-01-02,06:22:00,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,12-01-2020,Morning,Adult
46,2020-01-04,2020-01-02,09:02:00,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,Null,Morning,Senior-Citizen
47,2020-01-05,2020-01-02,09:55:00,Delhi,555,ROBBERY,47,F,Unknown,Violent Crime,9,No,Null,Morning,Adult
48,2020-01-05,2020-01-02,03:42:00,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,14-03-2020,Night,Adult
49,2020-01-05,2020-01-03,02:59:00,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,Null,Night,Senior-Citizen
50,2020-01-03,2020-01-03,06:06:00,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,Null,Morning,Adult
51,2020-01-03,2020-01-03,17:10:00,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,13-04-2020,Evening,Adult
52,2020-01-05,2020-01-03,19:13:00,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,14-04-2020,Evening,Adult
53,2020-01-05,2020-01-03,22:01:00,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,20-01-2020,Night,Adult
54,2020-01-05,2020-01-03,18:47:00,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,Null,Evening,Senior-Citizen
55,2020-01-06,2020-01-03,07:47:00,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,Null,Morning,Senior-Citizen
56,2020-01-04,2020-01-03,11:11:00,Meerut,596,BURGLARY,49,F,Unknown,Other Crime,19,No,Null,Morning,Adult
57,2020-01-06,2020-01-03,20:16:00,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,20-07-2020,Evening,Senior-Citizen
58,2020-01-03,2020-01-03,09:43:00,Ahmedabad,110,ASSAULT,70,F,Unknown,Violent Crime,15,No,Null,Morning,Senior-Citizen
59,2020-01-04,2020-01-03,02:40:00,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,Null,Night,Senior-Citizen
60,2020-01-05,2020-01-03,05:33:00,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,31-03-2020,Morning,Adult
61,2020-01-03,2020-01-03,15:04:00,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,Null,Afternoon,Teenager
62,2020-01-05,2020-01-03,03:32:00,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,09-02-2020,Night,Adult
63,2020-01-03,2020-01-03,09:27:00,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,15-03-2020,Morning,Adult
64,2020-01-06,2020-01-03,23:24:00,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020,Night,Teenager
65,2020-01-05,2020-01-03,00:59:00,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,Null,Night,Adult
66,2020-01-06,2020-01-03,11:49:00,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,15-03-2020,Morning,Adult
67,2020-01-03,2020-01-03,17:48:00,Bhopal,306,CYBERCRIME,25,M,Unknown,Other Crime,6,No,Null,Evening,Adult
68,2020-01-04,2020-01-03,08:46:00,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,02-05-2020,Morning,Adult
69,2020-01-06,2020-01-03,02:24:00,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,17-01-2020,Night,Adult
70,2020-01-06,2020-01-03,17:23:00,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,Null,Evening,Adult
71,2020-01-06,2020-01-03,00:50:00,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,Null,Night,Adult
72,2020-01-05,2020-01-03,11:34:00,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,23-03-2020,Morning,Adult
73,2020-01-05,2020-01-04,07:58:00,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,Null,Morning,Adult
74,2020-01-06,2020-01-04,03:01:00,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,20-01-2020,Night,Adult
75,2020-01-05,2020-01-04,01:45:00,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,Null,Night,Senior-Citizen
76,2020-01-06,2020-01-04,20:57:00,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,26-01-2020,Evening,Adult
77,2020-01-04,2020-01-04,14:30:00,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,Null,Afternoon,Adult
78,2020-01-05,2020-01-04,17:02:00,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,29-03-2020,Evening,Adult
79,2020-01-05,2020-01-04,03:40:00,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,Null,Night,Adult
80,2020-01-07,2020-01-04,23:54:00,Visakhapatnam,154,VEHICLE - STOLEN,54,F,Unknown,Violent Crime,15,Yes,15-01-2020,Night,Adult
81,2020-01-05,2020-01-04,23:33:00,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,04-03-2020,Night,Senior-Citizen
82,2020-01-06,2020-01-04,15:37:00,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,Null,Afternoon,Teenager
83,2020-01-06,2020-01-04,09:17:00,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,21-03-2020,Morning,Adult
84,2020-01-04,2020-01-04,06:13:00,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020,Morning,Senior-Citizen
85,2020-01-05,2020-01-04,12:40:00,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,Null,Afternoon,Adult
86,2020-01-06,2020-01-04,06:42:00,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,11-03-2020,Morning,Adult
87,2020-01-07,2020-01-04,16:00:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,18-01-2020,Afternoon,Adult
88,2020-01-07,2020-01-04,22:04:00,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,Null,Night,Child
89,2020-01-06,2020-01-04,21:21:00,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,Null,Night,Teenager
90,2020-01-06,2020-01-04,06:38:00,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,Null,Morning,Senior-Citizen
91,2020-01-05,2020-01-04,17:15:00,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,Null,Evening,Senior-Citizen
92,2020-01-04,2020-01-04,09:21:00,Jaipur,510,CYBERCRIME,60,F,Unknown,Other Crime,7,No,Null,Morning,Senior-Citizen
93,2020-01-05,2020-01-04,07:36:00,Hyderabad,597,FRAUD,53,M,Unknown,Other Crime,13,Yes,01-04-2020,Morning,Adult
94,2020-01-06,2020-01-04,08:12:00,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,Null,Morning,Adult
95,2020-01-06,2020-01-04,22:16:00,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,Null,Night,Child
96,2020-01-06,2020-01-04,14:10:00,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,Null,Afternoon,Adult
97,2020-01-06,2020-01-05,15:36:00,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,12-02-2020,Afternoon,Adult
98,2020-01-06,2020-01-05,02:56:00,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,Null,Night,Senior-Citizen
99,2020-01-06,2020-01-05,14:38:00,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,23-01-2020,Afternoon,Senior-Citizen
100,2020-01-06,2020-01-05,06:41:00,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,22-01-2020,Morning,Teenager
101,2020-01-06,2020-01-05,14:02:00,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,14-01-2020,Afternoon,Adult
102,2020-01-05,2020-01-05,22:34:00,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,Null,Night,Senior-Citizen
103,2020-01-07,2020-01-05,17:43:00,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,Null,Evening,Adult
104,2020-01-07,2020-01-05,14:13:00,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,19-02-2020,Afternoon,Adult
105,2020-01-06,2020-01-05,19:30:00,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,Null,Evening,Adult
106,2020-01-06,2020-01-05,10:05:00,Hyderabad,583,VEHICLE - STOLEN,69,F,Unknown,Violent Crime,12,Yes,22-02-2020,Morning,Senior-Citizen
107,2020-01-05,2020-01-05,17:21:00,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,Null,Evening,Child
108,2020-01-07,2020-01-05,09:35:00,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,09-02-2020,Morning,Adult
109,2020-01-07,2020-01-05,00:07:00,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,Null,Night,Adult
110,2020-01-05,2020-01-05,23:32:00,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,Null,Night,Teenager
111,2020-01-07,2020-01-05,23:24:00,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,16-02-2020,Night,Adult
112,2020-01-08,2020-01-05,07:02:00,Delhi,183,COUNTERFEITING,37,F,Unknown,Other Crime,6,No,Null,Morning,Adult
113,2020-01-07,2020-01-05,14:55:00,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,08-11-2021,Afternoon,Adult
114,2020-01-06,2020-01-05,06:42:00,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,Null,Morning,Adult
115,2020-01-07,2020-01-05,08:02:00,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,03-02-2020,Morning,Adult
116,2020-01-05,2020-01-05,06:26:00,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,Null,Morning,Senior-Citizen
117,2020-01-07,2020-01-05,10:15:00,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,13-03-2020,Morning,Adult
118,2020-01-06,2020-01-05,02:16:00,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,30-03-2020,Night,Adult
119,2020-01-07,2020-01-05,23:48:00,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,27-02-2020,Night,Teenager
120,2020-01-07,2020-01-05,07:04:00,Pune,537,TRAFFIC VIOLATION,70,M,Unknown,Traffic Fatality,3,Yes,27-01-2020,Morning,Senior-Citizen
121,2020-01-07,2020-01-06,12:16:00,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,22-01-2020,Afternoon,Senior-Citizen
122,2020-01-08,2020-01-06,22:59:00,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,06-04-2020,Night,Adult
123,2020-01-06,2020-01-06,00:00:00,Bhopal,432,VANDALISM,60,F,Unknown,Other Crime,4,No,Null,Night,Senior-Citizen
124,2020-01-08,2020-01-06,06:56:00,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,Null,Morning,Adult
125,2020-01-09,2020-01-06,19:19:00,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,Null,Evening,Adult
126,2020-01-09,2020-01-06,05:15:00,Pune,127,ASSAULT,62,F,Unknown,Violent Crime,10,No,Null,Morning,Senior-Citizen
127,2020-01-07,2020-01-06,00:44:00,Surat,117,FIREARM OFFENSE,42,F,Unknown,Fire Accident,8,No,Null,Night,Adult
128,2020-01-07,2020-01-06,02:17:00,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,01-04-2020,Night,Senior-Citizen
129,2020-01-09,2020-01-06,12:39:00,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,Null,Afternoon,Adult
130,2020-01-08,2020-01-06,14:55:00,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,20-05-2020,Afternoon,Adult
131,2020-01-08,2020-01-06,19:26:00,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,Null,Evening,Teenager
132,2020-01-07,2020-01-06,06:55:00,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,Null,Morning,Adult
133,2020-01-06,2020-01-06,19:17:00,Bangalore,309,HOMICIDE,18,M,Unknown,Other Crime,2,No,Null,Evening,Teenager
134,2020-01-06,2020-01-06,00:56:00,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,Null,Night,Senior-Citizen
135,2020-01-06,2020-01-06,07:26:00,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,Null,Morning,Adult
136,2020-01-09,2020-01-06,02:16:00,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,Null,Night,Senior-Citizen
137,2020-01-07,2020-01-06,01:01:00,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,23-01-2020,Night,Adult
138,2020-01-08,2020-01-06,20:11:00,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,Null,Evening,Child
139,2020-01-08,2020-01-06,07:11:00,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,Null,Morning,Adult
140,2020-01-08,2020-01-06,01:17:00,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,06-02-2020,Night,Adult
141,2020-01-08,2020-01-06,14:13:00,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,Null,Afternoon,Senior-Citizen
142,2020-01-07,2020-01-06,06:34:00,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020,Morning,Adult
143,2020-01-07,2020-01-06,12:37:00,Mumbai,278,ILLEGAL POSSESSION,45,F,Unknown,Other Crime,2,No,Null,Afternoon,Adult
144,2020-01-07,2020-01-06,16:49:00,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,04-02-2020,Afternoon,Senior-Citizen
145,2020-01-08,2020-01-07,03:38:00,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,Null,Night,Teenager
146,2020-01-08,2020-01-07,16:44:00,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,Null,Afternoon,Teenager
147,2020-01-07,2020-01-07,18:49:00,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,26-01-2020,Evening,Adult
148,2020-01-07,2020-01-07,22:27:00,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,Null,Night,Adult
149,2020-01-07,2020-01-07,01:09:00,Agra,558,IDENTITY THEFT,41,F,Unknown,Violent Crime,5,Yes,27-02-2020,Night,Adult
150,2020-01-07,2020-01-07,11:19:00,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,03-04-2020,Morning,Adult
151,2020-01-08,2020-01-07,13:59:00,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,27-03-2020,Afternoon,Adult
152,2020-01-07,2020-01-07,16:17:00,Bangalore,311,ILLEGAL POSSESSION,67,M,Unknown,Other Crime,16,No,Null,Afternoon,Senior-Citizen
153,2020-01-08,2020-01-07,17:21:00,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,Null,Evening,Adult
154,2020-01-09,2020-01-07,19:49:00,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,Null,Evening,Adult
155,2020-01-10,2020-01-07,19:37:00,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,Null,Evening,Adult
156,2020-01-10,2020-01-07,12:05:00,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,02-04-2020,Afternoon,Senior-Citizen
157,2020-01-07,2020-01-07,13:48:00,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,Null,Afternoon,Adult
158,2020-01-08,2020-01-07,03:32:00,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,Null,Night,Teenager
159,2020-01-09,2020-01-07,06:49:00,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,08-02-2020,Morning,Adult
160,2020-01-07,2020-01-07,14:26:00,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,22-03-2020,Afternoon,Adult
161,2020-01-09,2020-01-07,09:21:00,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,19-02-2020,Morning,Adult
162,2020-01-07,2020-01-07,17:22:00,Surat,420,CYBERCRIME,17,F,Unknown,Other Crime,12,No,Null,Evening,Teenager
163,2020-01-09,2020-01-07,09:50:00,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,Null,Morning,Adult
164,2020-01-08,2020-01-07,02:04:00,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,Null,Night,Senior-Citizen
165,2020-01-10,2020-01-07,06:07:00,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,23-12-2020,Morning,Child
166,2020-01-10,2020-01-07,00:42:00,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,10-03-2020,Night,Adult
167,2020-01-08,2020-01-07,05:25:00,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,27-01-2020,Morning,Senior-Citizen
168,2020-01-08,2020-01-07,02:01:00,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,04-03-2020,Night,Child
169,2020-01-08,2020-01-08,00:14:00,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,Null,Night,Teenager
170,2020-01-10,2020-01-08,05:22:00,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,17-01-2020,Morning,Adult
171,2020-01-09,2020-01-08,18:43:00,Agra,352,COUNTERFEITING,24,M,Unknown,Other Crime,14,Yes,11-03-2020,Evening,Adult
172,2020-01-08,2020-01-08,01:57:00,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,4,No,Null,Night,Adult
173,2020-01-11,2020-01-08,13:20:00,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,29-10-2021,Afternoon,Adult
174,2020-01-09,2020-01-08,01:34:00,Indore,438,DRUG OFFENSE,40,F,Unknown,Other Crime,7,No,Null,Night,Adult
175,2020-01-09,2020-01-08,10:27:00,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,15-06-2020,Morning,Senior-Citizen
176,2020-01-09,2020-01-08,22:06:00,Lucknow,292,BURGLARY,66,F,Unknown,Other Crime,14,Yes,28-06-2020,Night,Senior-Citizen
177,2020-01-08,2020-01-08,02:25:00,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,21-03-2020,Night,Adult
178,2020-01-09,2020-01-08,16:59:00,Mumbai,331,ILLEGAL POSSESSION,54,F,Unknown,Other Crime,11,No,Null,Afternoon,Adult
179,2020-01-10,2020-01-08,07:31:00,Agra,191,FRAUD,42,F,Knife,Other Crime,8,No,Null,Morning,Adult
180,2020-01-10,2020-01-08,02:31:00,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,Yes,23-01-2020,Night,Senior-Citizen
181,2020-01-10,2020-01-08,07:34:00,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,Null,Morning,Adult
182,2020-01-10,2020-01-08,12:16:00,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,Null,Afternoon,Adult
183,2020-01-10,2020-01-08,17:18:00,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,09-05-2021,Evening,Adult
184,2020-01-10,2020-01-08,23:28:00,Hyderabad,422,SEXUAL ASSAULT,27,F,Unknown,Violent Crime,4,No,Null,Night,Adult
185,2020-01-08,2020-01-08,17:27:00,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,03-03-2020,Evening,Senior-Citizen
186,2020-01-11,2020-01-08,08:32:00,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,12-03-2020,Morning,Senior-Citizen
